# #で始まる行はスキップされます
# 年,月,節入日,節入時(0-24),節入分(0-59)

1977,8,8,0,30
1977,9,8,3,16
1977,10,8,18,44
1977,11,7,21,46
1977,12,7,14,31
1978,1,6,1,44
1978,2,4,13,27
1978,3,6,7,38
1978,4,5,12,39
1978,5,6,6,9
1978,6,6,10,23
1978,7,7,20,37
1978,8,8,6,18
1978,9,8,9,3
1978,10,9,0,31
1978,11,8,3,34
1978,12,7,20,20
1979,1,6,7,32
1979,2,4,19,13
1979,3,6,13,20
1979,4,5,18,18
1979,5,6,11,47
1979,6,6,16,5
1979,7,8,2,25
1979,8,8,12,11
1979,9,8,15,0
1979,10,9,6,30
1979,11,8,9,33
1979,12,8,2,18
1980,1,6,13,29
1980,2,5,1,10
1980,3,5,19,17
1980,4,5,0,15
1980,5,5,17,45
1980,6,5,22,4
1980,7,7,8,24
1980,8,7,18,9
1980,9,7,20,54
1980,10,8,12,20
1980,11,7,15,19
1980,12,7,8,2
1981,1,5,19,13
1981,2,4,6,56
1981,3,6,1,5
1981,4,5,6,5
1981,5,5,23,35
1981,6,6,3,53
1981,7,7,14,12
1981,8,7,23,57
1981,9,8,2,43
1981,10,8,18,10
1981,11,7,21,9
1981,12,7,13,52
1982,1,6,1,3
1982,2,4,12,46
1982,3,6,6,55
1982,4,5,11,53
1982,5,6,5,20
1982,6,6,9,36
1982,7,7,19,55
1982,8,8,5,42
1982,9,8,8,32
1982,10,9,0,2
1982,11,8,3,4
1982,12,7,19,48
1983,1,6,6,59
1983,2,4,18,40
1983,3,6,12,47
1983,4,5,17,44
1983,5,6,11,11
1983,6,6,15,26
1983,7,8,1,43
1983,8,8,11,30
1983,9,8,14,20
1983,10,9,5,51
1983,11,8,8,53
1983,12,8,1,34
1984,1,6,12,41
1984,2,5,0,19
1984,3,5,18,25
1984,4,4,23,22
1984,5,5,16,51
1984,6,5,21,9
1984,7,7,7,29
1984,8,7,17,18
1984,9,7,20,10
1984,10,8,11,43
1984,11,7,14,46
1984,12,7,7,28
1985,1,5,18,35
1985,2,4,6,12
1985,3,6,0,16
1985,4,5,5,14
1985,5,5,22,43
1985,6,6,3,0
1985,7,7,13,19
1985,8,7,23,4
1985,9,8,1,53
1985,10,8,17,25
1985,11,7,20,29
1985,12,7,13,16
1986,1,6,0,28
1986,2,4,12,8
1986,3,6,6,12
1986,4,5,11,6
1986,5,6,4,31
1986,6,6,8,44
1986,7,7,19,1
1986,8,8,4,46
1986,9,8,7,35
1986,10,8,23,7
1986,11,8,2,13
1986,12,7,19,1
1987,1,6,6,13
1987,2,4,17,52
1987,3,6,11,54
1987,4,5,16,44
1987,5,6,10,6
1987,6,6,14,19
1987,7,8,0,39
1987,8,8,10,29
1987,9,8,13,24
1987,10,9,5,0
1987,11,8,8,6
1987,12,8,0,52
1988,1,6,12,4
1988,2,4,23,43
1988,3,5,17,47
1988,4,4,22,39
1988,5,5,16,2
1988,6,5,20,15
1988,7,7,6,33
1988,8,7,16,20
1988,9,7,19,12
1988,10,8,10,45
1988,11,7,13,49
1988,12,7,6,34
1989,1,5,17,46
1989,2,4,5,27
1989,3,5,23,34
1989,4,5,4,30
1989,5,5,21,54
1989,6,6,2,5
1989,7,7,12,19
1989,8,7,22,4
1989,9,8,0,54
1989,10,8,16,27
1989,11,7,19,34
1989,12,7,12,21
1990,1,5,23,33
1990,2,4,11,14
1990,3,6,5,19
1990,4,5,10,13
1990,5,6,3,35
1990,6,6,7,46
1990,7,7,18,0
1990,8,8,3,46
1990,9,8,6,37
1990,10,8,22,14
1990,11,8,1,23
1990,12,7,18,14
1991,1,6,5,28
1991,2,4,17,8
1991,3,6,11,12
1991,4,5,16,5
1991,5,6,9,27
1991,6,6,13,38
1991,7,7,23,53
1991,8,8,9,37
1991,9,8,12,27
1991,10,9,4,1
1991,11,8,7,8
1991,12,7,23,56
1992,1,6,11,9
1992,2,4,22,48
1992,3,5,16,52
1992,4,4,21,45
1992,5,5,15,9
1992,6,5,19,22
1992,7,7,5,40
1992,8,7,15,27
1992,9,7,18,18
1992,10,8,9,51
1992,11,7,12,57
1992,12,7,5,44
1993,1,5,16,57
1993,2,4,4,37
1993,3,5,22,43
1993,4,5,3,37
1993,5,5,21,2
1993,6,6,1,15
1993,7,7,11,32
1993,8,7,21,18
1993,9,8,0,8
1993,10,8,15,40
1993,11,7,18,46
1993,12,7,11,34
1994,1,5,22,48
1994,2,4,10,31
1994,3,6,4,38
1994,4,5,9,32
1994,5,6,2,54
1994,6,6,7,5
1994,7,7,17,19
1994,8,8,3,4
1994,9,8,5,55
1994,10,8,21,29
1994,11,8,0,36
1994,12,7,17,23
1995,1,6,4,34
1995,2,4,16,13
1995,3,6,10,16
1995,4,5,15,8
1995,5,6,8,30
1995,6,6,12,42
1995,7,7,23,1
1995,8,8,8,52
1995,9,8,11,49
1995,10,9,3,27
1995,11,8,6,36
1995,12,7,23,22
1996,1,6,10,31
1996,2,4,22,8
1996,3,5,16,10
1996,4,4,21,2
1996,5,5,14,26
1996,6,5,18,41
1996,7,7,5,0
1996,8,7,14,49
1996,9,7,17,42
1996,10,8,9,19
1996,11,7,12,27
1996,12,7,5,14
1997,1,5,16,24
1997,2,4,4,2
1997,3,5,22,4
1997,4,5,2,56
1997,5,5,20,19
1997,6,6,0,33
1997,7,7,10,49
1997,8,7,20,36
1997,9,7,23,29
1997,10,8,15,5
1997,11,7,18,15
1997,12,7,11,5
1998,1,5,22,18
1998,2,4,9,57
1998,3,6,3,57
1998,4,5,8,45
1998,5,6,2,3
1998,6,6,6,13
1998,7,7,16,30
1998,8,8,2,20
1998,9,8,5,16
1998,10,8,20,56
1998,11,8,0,8
1998,12,7,17,2
1999,1,6,4,17
1999,2,4,15,57
1999,3,6,9,58
1999,4,5,14,45
1999,5,6,8,1
1999,6,6,12,9
1999,7,7,22,25
1999,8,8,8,14
1999,9,8,11,10
1999,10,9,2,48
1999,11,8,5,58
1999,12,7,22,47
2000,1,6,10,1
2000,2,4,21,40
2000,3,5,15,43
2000,4,4,20,32
2000,5,5,13,50
2000,6,5,17,59
2000,7,7,4,14
2000,8,7,14,3
2000,9,7,16,59
2000,10,8,8,38
2000,11,7,11,48
2000,12,7,4,37
2001,1,5,15,49
2001,2,4,3,29
2001,3,5,21,32
2001,4,5,2,24
2001,5,5,19,45
2001,6,5,23,54
2001,7,7,10,7
2001,8,7,19,52
2001,9,7,22,46
2001,10,8,14,25
2001,11,7,17,37
2001,12,7,10,29
2002,1,5,21,43
2002,2,4,9,24
2002,3,6,3,28
2002,4,5,8,18
2002,5,6,1,37
2002,6,6,5,45
2002,7,7,15,56
2002,8,8,1,39
2002,9,8,4,31
2002,10,8,20,9
2002,11,7,23,22
2002,12,7,16,14
2003,1,6,3,28
2003,2,4,15,5
2003,3,6,9,5
2003,4,5,13,52
2003,5,6,7,10
2003,6,6,11,20
2003,7,7,21,36
2003,8,8,7,24
2003,9,8,10,20
2003,10,9,2,1
2003,11,8,5,13
2003,12,7,22,5
2004,1,6,9,19
2004,2,4,20,56
2004,3,5,14,56
2004,4,4,19,43
2004,5,5,13,2
2004,6,5,17,14
2004,7,7,3,31
2004,8,7,13,20
2004,9,7,16,13
2004,10,8,7,49
2004,11,7,10,59
2004,12,7,3,49
2005,1,5,15,3
2005,2,4,2,43
2005,3,5,20,45
2005,4,5,1,34
2005,5,5,18,53
2005,6,5,23,2
2005,7,7,9,17
2005,8,7,19,3
2005,9,7,21,57
2005,10,8,13,33
2005,11,7,16,42
2005,12,7,9,33
2006,1,5,20,47
2006,2,4,8,27
2006,3,6,2,29
2006,4,5,7,15
2006,5,6,0,31
2006,6,6,4,37
2006,7,7,14,51
2006,8,8,0,41
2006,9,8,3,39
2006,10,8,19,21
2006,11,7,22,35
2006,12,7,15,27
2007,1,6,2,40
2007,2,4,14,18
2007,3,6,8,18
2007,4,5,13,5
2007,5,6,6,20
2007,6,6,10,27
2007,7,7,20,42
2007,8,8,6,31
2007,9,8,9,29
2007,10,9,1,12
2007,11,8,4,24
2007,12,7,21,14
2008,1,6,8,25
2008,2,4,20,0
2008,3,5,13,59
2008,4,4,18,46
2008,5,5,12,3
2008,6,5,16,12
2008,7,7,2,27
2008,8,7,12,16
2008,9,7,15,14
2008,10,8,6,57
2008,11,7,10,11
2008,12,7,3,2
2009,1,5,14,14
2009,2,4,1,50
2009,3,5,19,48
2009,4,5,0,34
2009,5,5,17,51
2009,6,5,21,59
2009,7,7,8,13
2009,8,7,18,1
2009,9,7,20,58
2009,10,8,12,40
2009,11,7,15,56
2009,12,7,8,52
2010,1,5,20,9
2010,2,4,7,48
2010,3,6,1,46
2010,4,5,6,30
2010,5,5,23,44
2010,6,6,3,49
2010,7,7,14,2
2010,8,7,23,49
2010,9,8,2,45
2010,10,8,18,26
2010,11,7,21,42
2010,12,7,14,38
2011,1,6,1,55
2011,2,4,13,33
2011,3,6,7,30
2011,4,5,12,12
2011,5,6,5,23
2011,6,6,9,27
2011,7,7,19,42
2011,8,8,5,33
2011,9,8,8,34
2011,10,9,0,19
2011,11,8,3,35
2011,12,7,20,29
2012,1,6,7,44
2012,2,4,19,22
2012,3,5,13,21
2012,4,4,18,6
2012,5,5,11,20
2012,6,5,15,26
2012,7,7,1,41
2012,8,7,11,31
2012,9,7,14,29
2012,10,8,6,12
2012,11,7,9,26
2012,12,7,2,19
2013,1,5,13,34
2013,2,4,1,13
2013,3,5,19,15
2013,4,5,0,2
2013,5,5,17,18
2013,6,5,21,23
2013,7,7,7,35
2013,8,7,17,20
2013,9,7,20,16
2013,10,8,11,58
2013,11,7,15,14
2013,12,7,8,9
2014,1,5,19,24
2014,2,4,7,3
2014,3,6,1,2
2014,4,5,5,47
2014,5,5,22,59
2014,6,6,3,3
2014,7,7,13,15
2014,8,7,23,2
2014,9,8,2,1
2014,10,8,17,48
2014,11,7,21,7
2014,12,7,14,4
2015,1,6,1,21
2015,2,4,12,58
2015,3,6,6,56
2015,4,5,11,39
2015,5,6,4,53
2015,6,6,8,58
2015,7,7,19,12
2015,8,8,5,1
2015,9,8,8,0
2015,10,8,23,43
2015,11,8,2,59
2015,12,7,19,53
2016,1,6,7,8
2016,2,4,18,46
2016,3,5,12,44
2016,4,4,17,28
2016,5,5,10,42
2016,6,5,14,49
2016,7,7,1,3
2016,8,7,10,53
2016,9,7,13,51
2016,10,8,5,33
2016,11,7,8,48
2016,12,7,1,41
2017,1,5,12,56
2017,2,4,0,34
2017,3,5,18,33
2017,4,4,23,17
2017,5,5,16,31
2017,6,5,20,37
2017,7,7,6,51
2017,8,7,16,40
2017,9,7,19,39
2017,10,8,11,22
2017,11,7,14,38
2017,12,7,7,33
2018,1,5,18,49
2018,2,4,6,28
2018,3,6,0,28
2018,4,5,5,13
2018,5,5,22,25
2018,6,6,2,29
2018,7,7,12,42
2018,8,7,22,31
2018,9,8,1,30
2018,10,8,17,15
2018,11,7,20,32
2018,12,7,13,26
2019,1,6,0,39
2019,2,4,12,14
2019,3,6,6,10
2019,4,5,10,51
2019,5,6,4,3
2019,6,6,8,6
2019,7,7,18,21
2019,8,8,4,13
2019,9,8,7,17
2019,10,8,23,6
2019,11,8,2,24
2019,12,7,19,18
2020,1,6,6,30
2020,2,4,18,3
2020,3,5,11,57
2020,4,4,16,38
2020,5,5,9,51
2020,6,5,13,58
2020,7,7,0,14
2020,8,7,10,6
2020,9,7,13,8
2020,10,8,4,55
2020,11,7,8,14
2020,12,7,1,9
2021,1,5,12,22
2021,2,3,23,59
2021,3,5,17,52
2021,4,4,22,35
2021,5,5,15,47
2021,6,5,19,52
2021,7,7,6,5
2021,8,7,15,54
2021,9,7,18,53
2021,10,8,10,36
2021,11,7,13,57
2021,12,7,6,56
2022,1,5,18,12
2022,2,4,5,51
2022,3,5,23,44
2022,4,5,4,21
2022,5,5,21,25
2022,6,6,1,29
2022,7,7,11,35
2022,8,7,21,29
2022,9,8,0,33
2022,10,8,16,25
2022,11,7,19,47
2022,12,7,12,46
2023,1,6,0,4
2023,2,4,11,42
2023,3,6,5,36
2023,4,5,10,12
2023,5,6,3,19
2023,6,6,7,16
2023,7,7,17,30
2023,8,8,3,23
2023,9,8,6,26
2023,10,8,22,14
2023,11,8,1,37
2023,12,7,18,36
2024,1,6,5,49
2024,2,4,17,27
2024,3,5,11,23
2024,4,4,16,1
2024,5,5,9,10
2024,6,5,13,10
2024,7,6,23,20
2024,8,7,9,9
2024,9,7,12,10
2024,10,8,4,3
2024,11,7,7,20
2024,12,7,0,17
2025,1,5,11,32
2025,2,3,23,10
2025,3,5,17,8
2025,4,4,21,50
2025,5,5,14,57
2025,6,5,18,56
2025,7,7,5,5
2025,8,7,14,48
2025,9,7,17,52
2025,10,8,9,41
2025,11,7,13,4
2025,12,7,6,4
2026,1,5,17,23
2026,2,4,5,2
2026,3,5,22,58
2026,4,5,3,39
2026,5,5,20,48
2026,6,6,0,48
2026,7,7,10,57
2026,8,7,20,42
2026,9,7,23,41
2026,10,8,15,29
2026,11,7,18,52
2026,12,7,11,52
2027,1,5,23,10
2027,2,4,10,46
2027,3,6,4,39
2027,4,5,9,17
2027,5,6,2,22
2027,6,6,6,25
2027,7,7,16,37
2027,8,8,2,23
2027,9,8,5,28
2027,10,8,21,17
2027,11,8,0,38
2027,12,7,17,37
2028,1,6,4,54
2028,2,4,16,31
2028,3,5,10,24
2028,4,4,15,3
2028,5,5,8,10
2028,6,5,12,13
2028,7,6,22,30
2028,8,7,8,21
2028,9,7,11,24
2028,10,8,3,8
2028,11,7,6,27
2028,12,6,23,24
2029,1,5,10,42
2029,2,3,22,20
2029,3,5,16,17
2029,4,4,20,58
2029,5,5,14,7
2029,6,5,18,10
2029,7,7,4,22
2029,8,7,14,11
2029,9,7,17,12
2029,10,8,8,58
2029,11,7,12,16
2029,12,7,5,13
2030,1,5,16,30
2030,2,4,4,8
2030,3,5,22,3
2030,4,5,2,41
2030,5,5,19,46
2030,6,5,23,44
2030,7,7,9,55
2030,8,7,19,47
2030,9,7,22,52
2030,10,8,14,45
2030,11,7,18,8
2030,12,7,11,7
2031,1,5,22,23
2031,2,4,9,58
2031,3,6,3,51
2031,4,5,8,28
2031,5,6,1,33
2031,6,6,5,35
2031,7,7,15,48
2031,8,8,1,43
2031,9,8,4,49
2031,10,8,20,45
2031,11,8,0,5
2031,12,7,17,3
2032,1,6,4,16
2032,2,4,15,49
2032,3,5,9,40
2032,4,4,14,17
2032,5,5,7,25
2032,6,5,11,28
2032,7,6,21,41
2032,8,7,7,32
2032,9,7,10,37
2032,10,8,2,30
2032,11,7,5,54
2032,12,6,22,53
2033,1,5,10,8
2033,2,3,21,41
2033,3,5,15,32
2033,4,4,20,8
2033,5,5,13,13
2033,6,5,17,13
2033,7,7,3,25
2033,8,7,13,15
2033,9,7,16,20
2033,10,8,8,14
2033,11,7,11,41
2033,12,7,4,45
2034,1,5,16,4
2034,2,4,3,41
2034,3,5,21,32
2034,4,5,2,7
2034,5,5,19,9
2034,6,5,23,6
2034,7,7,9,17
2034,8,7,19,9
2034,9,7,22,14
2034,10,8,14,7
2034,11,7,17,33
2034,12,7,10,36
2035,1,5,21,55
2035,2,4,9,31
2035,3,6,3,19
2035,4,5,7,55
2035,5,6,0,55
2035,6,6,4,50
2035,7,7,15,1
2035,8,8,0,54
2035,9,8,4,2
2035,10,8,19,57
2035,11,7,23,23
2035,12,7,16,25
2036,1,6,3,43
2036,2,4,15,20
2036,3,5,9,11
2036,4,4,13,43
2036,5,5,6,49
2036,6,5,10,47
2036,7,6,20,57
2036,8,7,6,49
2036,9,7,9,55
2036,10,8,1,50
2036,11,7,5,14
2036,12,6,22,16
2037,1,5,9,34
2037,2,3,21,11
2037,3,5,15,6
2037,4,4,19,44
2037,5,5,12,49
2037,6,5,16,46
2037,7,7,2,55
2037,8,7,12,43
2037,9,7,15,45
2037,10,8,7,39
2037,11,7,11,4
2037,12,7,4,7
2038,1,5,15,26
2038,2,4,3,3
2038,3,5,20,55
2038,4,5,1,29
2038,5,5,18,31
2038,6,5,22,25
2038,7,7,8,32
2038,8,7,18,21
2038,9,7,21,26
2038,10,8,13,21
2038,11,7,16,50
2038,12,7,9,56
2039,1,5,21,16
2039,2,4,8,52
2039,3,6,2,43
2039,4,5,7,15
2039,5,6,0,18
2039,6,6,4,15
2039,7,7,14,26
2039,8,8,0,18
2039,9,8,3,24
2039,10,8,19,17
2039,11,7,22,42
2039,12,7,15,45
2040,1,6,3,3
2040,2,4,14,39
2040,3,5,8,31
2040,4,4,13,5
2040,5,5,6,9
2040,6,5,10,8
2040,7,6,20,19
2040,8,7,6,10
2040,9,7,9,14
2040,10,8,1,5
2040,11,7,4,29
2040,12,6,21,29
2041,1,5,8,48
2041,2,3,20,25
2041,3,5,14,14
2041,4,4,18,52
2041,5,5,11,54
2041,6,5,15,49
2041,7,7,1,58
2041,8,7,11,48
2041,9,7,14,53
2041,10,8,6,47
2041,11,7,10,13
2041,12,7,3,15
2042,1,5,14,35
2042,2,4,2,12
2042,3,5,20,4
2042,4,5,0,40
2042,5,5,17,42
2042,6,5,21,31
2042,7,7,7,47
2042,8,7,17,38
2042,9,7,20,45
2042,10,8,12,40
2042,11,7,16,7
2042,12,7,9,9
2043,1,5,20,25
2043,2,4,7,58
2043,3,6,1,47
2043,4,5,6,20
2043,5,5,23,22
2043,6,6,3,18
2043,7,7,13,27
2043,8,7,23,20
2043,9,8,2,28
2043,10,8,18,27
2043,11,7,21,55
2043,12,7,14,57
2044,1,6,2,12
